32   0.945313 0.957031 0.339844 0.449219 3 28
33 ! 0.84375 0.859375 0.339844 0.449219 4 28
34 " 0.617188 0.640625 0.339844 0.449219 6 28
35 # 0.109375 0.15625 0.113281 0.222656 12 28
36 $ 0 0.0351563 0.339844 0.449219 9 28
37 % 0.152344 0.21875 0 0.109375 17 28
38 & 0.222656 0.289063 0 0.109375 17 28
39 ' 0.882813 0.894531 0.339844 0.449219 3 28
40 ( 0.644531 0.667969 0.339844 0.449219 6 28
41 ) 0.671875 0.695313 0.339844 0.449219 6 28
42 * 0.886719 0.921875 0.226563 0.335938 9 28
43 + 0.464844 0.507813 0.113281 0.222656 11 28
44 , 0.898438 0.910156 0.339844 0.449219 3 28
45 - 0.96875 0.996094 0 0.109375 7 28
46 . 0.980469 0.996094 0.113281 0.222656 4 28
47 / 0.757813 0.796875 0.226563 0.335938 10 28
48 0 0.046875 0.0898438 0.226563 0.335938 11 28
49 1 0.523438 0.550781 0.339844 0.449219 7 28
50 2 0.140625 0.183594 0.226563 0.335938 11 28
51 3 0.15625 0.191406 0.339844 0.449219 9 28
52 4 0.363281 0.410156 0.113281 0.222656 12 28
53 5 0.3125 0.347656 0.339844 0.449219 9 28
54 6 0.746094 0.789063 0.113281 0.222656 11 28
55 7 0.511719 0.554688 0.113281 0.222656 11 28
56 8 0.558594 0.601563 0.113281 0.222656 11 28
57 9 0.605469 0.648438 0.113281 0.222656 11 28
58 : 0.863281 0.878906 0.339844 0.449219 4 28
59 ; 0.824219 0.839844 0.339844 0.449219 4 28
60 < 0.585938 0.625 0.226563 0.335938 10 28
61 = 0.714844 0.753906 0.226563 0.335938 10 28
62 > 0.542969 0.582031 0.226563 0.335938 10 28
63 ? 0.964844 0.996094 0.226563 0.335938 8 28
64 @ 0.078125 0.148438 0 0.109375 18 28
65 A 0.859375 0.910156 0 0.109375 13 28
66 B 0.652344 0.695313 0.113281 0.222656 11 28
67 C 0.914063 0.964844 0 0.109375 13 28
68 D 0.804688 0.855469 0 0.109375 13 28
69 E 0.117188 0.152344 0.339844 0.449219 9 28
70 F 0.078125 0.113281 0.339844 0.449219 9 28
71 G 0 0.0507813 0.113281 0.222656 13 28
72 H 0.0546875 0.105469 0.113281 0.222656 13 28
73 I 0.929688 0.941406 0.339844 0.449219 3 28
74 J 0.429688 0.457031 0.339844 0.449219 7 28
75 K 0.699219 0.742188 0.113281 0.222656 11 28
76 L 0.925781 0.960938 0.226563 0.335938 9 28
77 M 0.496094 0.558594 0 0.109375 16 28
78 N 0.75 0.800781 0 0.109375 13 28
79 O 0.625 0.683594 0 0.109375 15 28
80 P 0.414063 0.453125 0.226563 0.335938 10 28
81 Q 0.363281 0.425781 0 0.109375 16 28
82 R 0.792969 0.835938 0.113281 0.222656 11 28
83 S 0.328125 0.367188 0.226563 0.335938 10 28
84 T 0.839844 0.882813 0.113281 0.222656 11 28
85 U 0.414063 0.460938 0.113281 0.222656 12 28
86 V 0.6875 0.746094 0 0.109375 15 28
87 W 0 0.0742188 0 0.109375 19 28
88 X 0.3125 0.359375 0.113281 0.222656 12 28
89 Y 0.886719 0.929688 0.113281 0.222656 11 28
90 Z 0.261719 0.308594 0.113281 0.222656 12 28
91 [ 0.777344 0.796875 0.339844 0.449219 5 28
92 \ 0.292969 0.359375 0 0.109375 17 28
93 ] 0.753906 0.773438 0.339844 0.449219 5 28
94 ^ 0.628906 0.667969 0.226563 0.335938 10 28
95 _ 0.671875 0.710938 0.226563 0.335938 10 28
96 ` 0.800781 0.820313 0.339844 0.449219 5 28
97 a 0.351563 0.386719 0.339844 0.449219 9 28
98 b 0.933594 0.976563 0.113281 0.222656 11 28
99 c 0.390625 0.425781 0.339844 0.449219 9 28
100 d 0 0.0429688 0.226563 0.335938 11 28
101 e 0.09375 0.136719 0.226563 0.335938 11 28
102 f 0.460938 0.488281 0.339844 0.449219 7 28
103 g 0.1875 0.230469 0.226563 0.335938 11 28
104 h 0.457031 0.496094 0.226563 0.335938 10 28
105 i 0.960938 0.972656 0.339844 0.449219 3 28
106 j 0.554688 0.582031 0.339844 0.449219 7 28
107 k 0.0390625 0.0742188 0.339844 0.449219 9 28
108 l 0.914063 0.925781 0.339844 0.449219 3 28
109 m 0.429688 0.492188 0 0.109375 16 28
110 n 0.5 0.539063 0.226563 0.335938 10 28
111 o 0.160156 0.207031 0.113281 0.222656 12 28
112 p 0.234375 0.277344 0.226563 0.335938 11 28
113 q 0.28125 0.324219 0.226563 0.335938 11 28
114 r 0.585938 0.613281 0.339844 0.449219 7 28
115 s 0.234375 0.269531 0.339844 0.449219 9 28
116 t 0.492188 0.519531 0.339844 0.449219 7 28
117 u 0.371094 0.410156 0.226563 0.335938 10 28
118 v 0.84375 0.882813 0.226563 0.335938 10 28
119 w 0.5625 0.621094 0 0.109375 15 28
120 x 0.195313 0.230469 0.339844 0.449219 9 28
121 y 0.800781 0.839844 0.226563 0.335938 10 28
122 z 0.273438 0.308594 0.339844 0.449219 9 28
123 { 0.699219 0.722656 0.339844 0.449219 6 28
124 | 0.976563 0.988281 0.339844 0.449219 3 28
125 } 0.726563 0.75 0.339844 0.449219 6 28
126 ~ 0.210938 0.257813 0.113281 0.222656 12 28
