32   0.0       0.0     0.0      0.0     0  0
33 ! 0.716797 0.734375 0.253906 0.378906 18 64
34 " 0.43457 0.459961 0.253906 0.378906 26 64
35 # 0.842773 0.873047 0.126953 0.251953 31 64
36 $ 0.21875 0.249023 0.253906 0.378906 31 64
37 % 0.106445 0.15332 0 0.125 48 64
38 & 0.5 0.539063 0 0.125 40 64
39 ' 0.897461 0.910156 0.253906 0.378906 13 64
40 ( 0.698242 0.71582 0.253906 0.378906 18 64
41 ) 0.679688 0.697266 0.253906 0.378906 18 64
42 * 0.483398 0.503906 0.253906 0.378906 21 64
43 + 0.683594 0.714844 0.126953 0.251953 32 64
44 , 0.789063 0.803711 0.253906 0.378906 15 64
45 - 0.661133 0.678711 0.253906 0.378906 18 64
46 . 0.804688 0.819336 0.253906 0.378906 15 64
47 / 0.771484 0.788086 0.253906 0.378906 17 64
48 0 0.03125 0.0615234 0.253906 0.378906 31 64
49 1 0.874023 0.904297 0.126953 0.251953 31 64
50 2 0.375 0.405273 0.253906 0.378906 31 64
51 3 0.28125 0.311523 0.253906 0.378906 31 64
52 4 0.125 0.155273 0.253906 0.378906 31 64
53 5 0.09375 0.124023 0.253906 0.378906 31 64
54 6 0.0625 0.0927734 0.253906 0.378906 31 64
55 7 0.780273 0.810547 0.126953 0.251953 31 64
56 8 0 0.0302734 0.253906 0.378906 31 64
57 9 0.967773 0.998047 0.126953 0.251953 31 64
58 : 0.586914 0.604492 0.253906 0.378906 18 64
59 ; 0.568359 0.585938 0.253906 0.378906 18 64
60 < 0.71582 0.74707 0.126953 0.251953 32 64
61 = 0.748047 0.779297 0.126953 0.251953 32 64
62 > 0.586914 0.618164 0.126953 0.251953 32 64
63 ? 0.416992 0.450195 0.126953 0.251953 34 64
64 @ 0 0.0527344 0 0.125 54 64
65 A 0.780273 0.818359 0 0.125 39 64
66 B 0.740234 0.779297 0 0.125 40 64
67 C 0.540039 0.579102 0 0.125 40 64
68 D 0.580078 0.619141 0 0.125 40 64
69 E 0.0371094 0.0732422 0.126953 0.251953 37 64
70 F 0.485352 0.518555 0.126953 0.251953 34 64
71 G 0.291016 0.333008 0 0.125 43 64
72 H 0.620117 0.65918 0 0.125 40 64
73 I 0.882813 0.896484 0.253906 0.378906 14 64
74 J 0.25 0.280273 0.253906 0.378906 31 64
75 K 0.459961 0.499023 0 0.125 40 64
76 L 0.246094 0.279297 0.126953 0.251953 34 64
77 M 0.202148 0.246094 0 0.125 45 64
78 N 0.700195 0.739258 0 0.125 40 64
79 O 0.376953 0.418945 0 0.125 43 64
80 P 0.895508 0.931641 0 0.125 37 64
81 Q 0.333984 0.375977 0 0.125 43 64
82 R 0.419922 0.458984 0 0.125 40 64
83 S 0.932617 0.96875 0 0.125 37 64
84 T 0.0742188 0.108398 0.126953 0.251953 35 64
85 U 0.660156 0.699219 0 0.125 40 64
86 V 0.819336 0.856445 0 0.125 38 64
87 W 0.0537109 0.105469 0 0.125 53 64
88 X 0 0.0361328 0.126953 0.251953 37 64
89 Y 0.857422 0.894531 0 0.125 38 64
90 Z 0.348633 0.381836 0.126953 0.251953 34 64
91 [ 0.605469 0.623047 0.253906 0.378906 18 64
92 \ 0.753906 0.770508 0.253906 0.378906 17 64
93 ] 0.624023 0.641602 0.253906 0.378906 18 64
94 ^ 0.651367 0.682617 0.126953 0.251953 32 64
95 _ 0.553711 0.585938 0.126953 0.251953 33 64
96 ` 0.642578 0.660156 0.253906 0.378906 18 64
97 a 0.34375 0.374023 0.253906 0.378906 31 64
98 b 0.382813 0.416016 0.126953 0.251953 34 64
99 c 0.811523 0.841797 0.126953 0.251953 31 64
100 d 0.451172 0.484375 0.126953 0.251953 34 64
101 e 0.905273 0.935547 0.126953 0.251953 31 64
102 f 0.547852 0.567383 0.253906 0.378906 20 64
103 g 0.519531 0.552734 0.126953 0.251953 34 64
104 h 0.314453 0.347656 0.126953 0.251953 34 64
105 i 0.820313 0.834961 0.253906 0.378906 15 64
106 j 0.835938 0.850586 0.253906 0.378906 15 64
107 k 0.15625 0.186523 0.253906 0.378906 31 64
108 l 0.851563 0.866211 0.253906 0.378906 15 64
109 m 0.154297 0.201172 0 0.125 48 64
110 n 0.280273 0.313477 0.126953 0.251953 34 64
111 o 0.211914 0.245117 0.126953 0.251953 34 64
112 p 0.177734 0.210938 0.126953 0.251953 34 64
113 q 0.143555 0.176758 0.126953 0.251953 34 64
114 r 0.460938 0.482422 0.253906 0.378906 22 64
115 s 0.3125 0.342773 0.253906 0.378906 31 64
116 t 0.735352 0.75293 0.253906 0.378906 18 64
117 u 0.109375 0.142578 0.126953 0.251953 34 64
118 v 0.969727 0.999023 0 0.125 30 64
119 w 0.24707 0.290039 0 0.125 44 64
120 x 0.1875 0.217773 0.253906 0.378906 31 64
121 y 0.936523 0.966797 0.126953 0.251953 31 64
122 z 0.40625 0.433594 0.253906 0.378906 28 64
123 { 0.504883 0.525391 0.253906 0.378906 21 64
124 | 0.867188 0.881836 0.253906 0.378906 15 64
125 } 0.526367 0.546875 0.253906 0.378906 21 64
126 ~ 0.619141 0.650391 0.126953 0.251953 32 64
